qqWords	WordID	Faces	FaceID	Scenes	SceneID	Objects	ObjectID
qqvertebrate	word68	qqHarrison_Ford	face68	qqChichenitza_Mexico	scene68	qqMaracas	object68
qqbalance	word69	qqKim_Kardashian	face69	qqHagia_Sophia	scene69	qqMortar_Pestle	object69
qqcement	word70	qqAnne_Hathaway	face70	qqLouvre_Museum	scene70	qqAcorn	object70
qqcry	word71	qqRihanna	face71	qqMachu_Picchu	scene71	qqTape	object71
qqdive	word72	qqSteve_Jobs	face72	qqMonte_Carlo_Casino	scene72	qqMakeup_Brush	object72
qqmarshmallow	word73	qqEllen_Degeneres	face73	qqMount_Vesuvius	scene73	qqBasket	object73
qqnarrate	word74	qqKaty_Perry	face74	qqMount_Fuji	scene74	qqBasketball	object74
qqregister	word75	qqAlec_Baldwin	face75	qqPontevecchio_Florence	scene75	qqChopsticks	object75
qqsmoke	word76	qqEmma_Stone	face76	qqUluru	scene76	qqPom_Pom	object76
qqsunburn	word77	qqWill_Ferrell	face77	qqUS_Supreme_Court	scene77	qqFlash_Drive	object77
qqvault	word78	qqEminem	face78	qqCentral_Park	scene78	qqHandbag	object78
qqvelcro	word79	qqMiley_Cyrus	face79	qqFrench_Riviera	scene79	qqIce_Cream_Scoop	object79
qqworm	word80	qqSarah_Palin	face80	qqGreek_Islands	scene80	qqIphone	object80
qqdiagonal	word81	qqJoe_Biden	face81	qqTimbuktu	scene81	qqBaseball_Bat	object81
qqdream	word82	qqDr_Phil	face82	qqGreat_Salt_Lake	scene82	qqMegaphone	object82
qqjump	word83	qqSteve_Carell	face83	qqThe_Golden_Temple	scene83	qqPerfume_Bottle	object83
qqlocal	word84	qqJulianne_Moore	face84	qqBiltmore_Mansion	scene84	qqPotato_Masher	object84
qqluminate	word85	qqTaylor_Swift	face85	qqThe_Alamo	scene85	qqRemote_Control	object85
qqmonopoly	word86	qqJennifer_Aniston	face86	qqPanama_Canal	scene86	qqRolling_Pin	object86
qqpuppet	word87	qqAdele	face87	qqJerusalem	scene87	qqSand_Paper	object87
qqshare	word88	qqPaul_Rudd	face88	qqMount_Vernon	scene88	qqSewing_Machine	object88
qqsmash	word89	qqJennifer_Hudson	face89	qqStonehenge	scene89	qqSnow_Shovel	object89
qqswim	word90	qqJennifer_Lawrence	face90	qqWashington_Monument	scene90	qqSteering_Wheel	object90
qqwoodpecker	word91	qqLance_Armstrong	face91	qqGateway_Of_India	scene91	qqTeapot	object91
qqawkward	word92	qqLea_Michele	face92	qqRodeo_Drive	scene92	qqTire_Pump	object92
qqbrew	word93	qqSofia_Vergara	face93	qqForbidden_City	scene93	qqTraffic_Cone	object93
qqbury	word94	qqZac_Effron	face94	qqNotre_Dame	scene94	qqWallet	object94
qqcrawl	word95	qqDonald_Trump	face95	qqPetra_Jordan	scene95	qqWater_Gun	object95
qqfree	word96	qqLindsey_Lohan	face96	qqVenice	scene96	qqXylophone	object96
qqgroup	word97	qqAl_Pacino	null	qqFalling_Water	null	qqDoorknob	null
qqmusical	word98	qqUsain_Bolt	null	qqLeaning_Tower_Of_Pisa	null	qqHockey_Stick	null
qqnovice	word99	qqEmril_Lagasse	null	qqCN_Tower	null	qqMagnifying_Glass	null
qqpoison	word100	qqDanny_Devito	null	qqConey_Island	null	qqStethoscope	null
qqpopcorn	word101	qqJack_Nicholson	null	qqLiberty_Bell	null	qqMatches	null
